B_avg_DISTANCE_landed,R_avg_opp_SIG_STR_pct,R_age,B_avg_CTRL_time(seconds),B_avg_opp_SIG_STR_pct,B_avg_HEAD_att,B_avg_opp_LEG_att,B_age,B_avg_DISTANCE_att,R_losses,R_avg_opp_HEAD_landed,R_avg_opp_LEG_att,R_avg_LEG_att,B_avg_GROUND_att,R_avg_GROUND_landed,R_avg_opp_BODY_landed,R_avg_SUB_ATT,R_avg_opp_DISTANCE_att,R_avg_BODY_landed,R_avg_opp_CTRL_time(seconds)
17.6875,0.26625,27.0,349.5,0.44875,60.3125,0.625,35.0,58.125,1.0,20.5625,4.9375,15.21160888671875,12.875,1.9375,13.1875,0.0,126.8125,13.5625,94.9375
16.0625,0.5362792968750001,31.0,9.6875,0.371875,37.125,8.125,28.0,42.6875,5.0,22.541015625,14.3125,13.2587890625,0.125,1.556640625,13.3203125,0.0732421875,67.904296875,8.3369140625,273.6689453125
14.0,0.36,30.0,349.5,0.48,61.0,4.0,24.0,40.0,1.0,41.5,14.3125,15.21160888671875,19.0,1.0,13.3203125,0.0,126.8125,5.0,40.5
0.0,0.4,23.0,349.5,0.605,11.0,4.0,27.0,2.0,0.0,30.21875,5.6329345703125,2.6875,9.0,11.0,11.0,0.0,126.8125,6.0,37.28125
5.71875,0.33,24.0,219.75,0.4393749999999999,24.25,3.046875,33.0,18.984375,1.0,13.0,0.0,4.5,7.703125,0.5,1.0,1.125,5.0,1.0,0.0
23.0,0.296171875,22.0,68.5,0.42,43.1875,1.0,28.0,27.0,0.0,41.5,3.796875,15.21160888671875,7.25,7.625,2.0,0.0,104.0,2.20703125,85.0
18.0,0.4384846305847167,39.0,259.0,0.55,72.5,4.0,30.0,35.0,5.0,11.549166202545166,9.99987268447876,6.471562385559082,19.90234375,0.5572729110717773,3.077404022216797,0.0001330375671386,35.024115562438965,3.963397026062012,37.34788465499878
5.0,0.451690673828125,31.0,166.25,0.1575,22.25,0.75,21.0,10.75,5.0,40.73638916015625,14.3125,9.821517944335938,10.25,3.1585845947265625,12.144851684570312,0.0,126.8125,4.390045166015625,109.8029327392578
13.0,0.334375,30.0,38.25,0.56,43.0,4.3125,26.0,35.0,0.0,11.5,3.25,0.0,6.25,2.0,3.25,0.0,15.0,7.390625,11.0
40.75,0.4075,38.0,36.4375,0.469609375,77.0625,13.8046875,25.0,100.16015625,2.0,9.25,3.75,5.375,5.8515625,6.0,5.25,0.5,24.875,8.0,150.375
27.0,0.403125,30.0,349.5,0.55,99.0,8.0,29.0,99.0,0.0,13.3125,1.65625,9.5625,19.90234375,13.375,3.4375,0.15625,49.90625,10.28125,1.25
13.8125,0.445,34.0,52.0,0.605,36.125,1.8125,32.0,34.4375,1.0,0.5,0.5,0.5,0.25,0.0,1.0,0.0,5.5,0.5,0.5
25.09375,0.44,30.0,188.96875,0.3778125,41.65625,8.625,30.0,59.3125,1.0,11.5,1.5,3.25,0.0,13.375,2.25,0.0,9.75,0.75,84.0
16.375,0.36875,34.0,265.125,0.49625,81.5,2.125,32.0,61.625,3.0,7.609375,1.359375,7.140625,17.625,4.203125,6.921875,0.015625,24.90625,5.578125,283.171875
9.25,0.32,28.0,135.5,0.345,28.0,4.0,25.0,27.0,1.0,1.75,0.0,0.0,3.25,13.375,0.5,0.0,5.5,8.75,0.0
4.0,0.4935556221008301,38.0,95.0,0.44,10.0,0.0,32.0,12.0,5.0,24.16953468322754,2.701681137084961,0.9814319610595704,2.0,1.5424251556396484,6.428653717041016,0.1409282684326172,58.89771270751953,3.621192932128906,53.78362464904785
13.0,0.469375,32.0,88.0,0.38,25.0,5.0,34.0,37.0,3.0,17.0625,11.1875,12.859375,1.0,3.828125,11.609375,0.375,65.609375,11.359375,222.671875
10.5,0.2571875,26.0,180.5,0.425,45.5,1.0,28.0,24.5,3.0,16.9375,0.4375,2.125,19.90234375,12.1875,1.9375,0.4375,60.21875,5.59375,21.625
4.0,0.34,26.0,133.75,0.52,10.25,1.75,28.0,8.75,0.0,2.0,14.3125,15.21160888671875,2.0,5.0,6.0,1.125,63.0,1.0,9.0
18.875,0.3412890625,23.0,60.0,0.31,34.0,7.25,25.0,59.0,0.0,30.43701171875,6.25,0.421875,2.5,1.2001953125,7.0,0.0,39.0,1.5,67.0
16.0,0.275,28.0,349.5,0.275,80.5,3.5,26.0,60.0,2.0,29.28125,14.3125,12.1875,19.90234375,0.03125,10.8125,0.0,126.8125,13.0625,12.03125
2.5,0.505,29.0,2.0,0.42,29.3798828125,0.46875,22.0,21.0,3.0,41.5,4.5625,15.21160888671875,6.3671875,4.75,13.3203125,0.375,88.875,11.875,290.829833984375
28.966217041015625,0.4316815185546875,34.0,207.92697143554688,0.2881280517578125,62.61334228515625,13.36334228515625,29.0,62.58200073242188,5.0,41.5,14.3125,10.30572509765625,4.703369140625,0.46630859375,7.6226806640625,0.2762451171875,126.8125,2.60107421875,128.602783203125
13.4921875,0.5406213760375976,31.0,260.5390625,0.274765625,30.3515625,3.015625,33.0,32.40625,5.0,22.95450496673584,14.3125,10.460393905639648,10.296875,1.523855209350586,11.563568115234377,0.0652360916137695,71.39541721343994,5.2888593673706055,290.829833984375
20.78125,0.518046875,35.0,43.1875,0.468125,40.15625,8.71875,30.0,50.53125,3.0,32.46875,10.515625,5.859375,2.375,13.375,12.765625,0.0234375,86.15625,12.375,236.3515625
23.0,0.355,24.0,120.5,0.5549999999999999,26.0,3.1953125,23.0,37.39111328125,1.0,7.625,0.25,1.0,0.0,0.0,1.25,1.125,3.875,0.875,65.625
28.1806640625,0.536302547454834,37.0,62.22265625,0.519052734375,48.486328125,3.9140625,35.0,59.7822265625,5.0,30.01688575744629,9.998693466186523,10.009553909301758,3.56640625,2.7020721435546875,4.144458770751953,1.125,63.26715278625488,1.5812835693359375,121.51883697509766
21.5,0.41,27.0,34.0,0.45,84.0,5.0,28.0,83.0,0.0,9.0,9.0,15.21160888671875,0.5,0.0,13.3203125,0.0,68.0,8.0,10.0
16.0,0.334375,26.0,232.56640625,0.27375,23.0,0.125,29.0,27.0,0.0,17.25,3.7509765625,13.25,5.5,3.5,10.6875,1.0,75.0791015625,5.2888593673706055,139.25
17.217363357543945,0.43162951156497,35.0,81.12278747558594,0.3666455936431885,24.78349781036377,2.310888290405273,29.0,37.012715339660645,5.0,16.53505603969097,3.2760064098984003,5.431545052677393,2.2297163009643555,4.583371972665191,6.5073196440935135,0.6112003419548273,45.22685041837394,4.362778479233384,63.55103457532823
11.46875,0.56,29.0,21.0859375,0.605,44.75,9.5,32.0,26.92281723022461,1.0,1.5,0.0,0.5,2.25,0.5,1.5,0.0,1.5,0.0,0.0
1.0,0.47,27.0,4.5,0.5349999999999999,4.0,0.0,35.0,3.5,1.0,35.0,8.0,6.0,0.0,5.0,9.0,0.0,93.0,13.96875,240.0
20.5,0.36,26.0,252.0,0.5549999999999999,34.375,1.875,33.0,38.375,1.0,9.75,4.875,7.0,9.75,4.625,3.875,0.625,30.25,4.875,80.25
10.0,0.4496875,27.0,219.75,0.4468749999999999,34.0,1.25,29.0,25.75,0.0,7.171875,4.0,2.0,7.0,4.0,1.0,0.0,16.0,2.0106201171875,0.0
7.5,0.4119482421875,36.0,85.125,0.14375,29.125,1.875,22.0,21.375,5.0,24.46502685546875,14.3125,7.378021240234375,6.125,4.00823974609375,13.3203125,0.00018310546875,106.973388671875,13.96875,4.03057861328125
31.5,0.4771502685546874,35.0,47.0,0.415,51.5,7.5,30.0,72.5,5.0,24.74322509765625,2.168212890625,0.8759765625,1.0,0.91131591796875,4.490234375,0.08148193359375,63.70025634765625,4.02667236328125,12.375244140625
7.5,0.56,28.0,59.375,0.54,24.5,1.625,28.0,14.625,2.0,9.3125,3.9375,3.9375,12.625,0.75,3.4375,0.3125,17.4375,4.9375,102.8125
14.3125,0.375,26.0,112.3125,0.4443749999999999,60.125,3.8125,23.0,36.875,0.0,0.5,2.5,5.5,8.9375,0.75,0.5,0.5,5.25,0.0,6.5
16.484375,0.56,32.0,261.146484375,0.37875,51.7421875,1.5078125,30.0,46.083984375,5.0,41.5,14.3125,7.873046875,8.73046875,1.687255859375,11.3677978515625,0.188232421875,77.7923583984375,6.7161865234375,290.829833984375
20.0,0.3396310043334961,26.0,44.1990966796875,0.27375,32.3125,0.5,23.0,50.125,0.0,30.43701171875,2.0,4.099609375,19.90234375,1.671875,2.75,0.0,77.0,5.0,30.8125
1.0,0.25,37.0,15.0,0.56,13.5,4.5,23.0,8.5,0.0,3.0,1.0,2.0,3.5,2.0,0.0,0.0,14.0,2.0,65.0
26.55859375,0.315625,30.0,111.828125,0.5284765625000001,79.70703125,6.08984375,33.0,69.53125,1.0,13.1875,14.3125,2.875,11.953125,6.125,5.375,0.0,78.875,6.5,142.1875
33.19140625,0.4584765625,38.0,309.83984375,0.34474609375,93.9150390625,13.8046875,31.0,108.6103515625,5.0,18.646484375,6.62890625,11.046875,3.4423828125,5.07421875,10.966796875,0.25,62.810546875,5.5625,14.974609375
41.578125,0.4940624999999999,30.0,42.34375,0.2990625,107.96875,12.234375,33.0,116.296875,4.0,41.5,4.7578125,4.03125,0.96875,0.4140625,13.3203125,0.75,126.8125,3.640625,289.921875
6.0,0.46,27.0,95.25,0.4775,18.5,1.75,26.0,22.0,0.0,20.5,0.0,3.5,2.5,5.0,10.125,1.0,93.0,5.2888593673706055,155.5
18.8125,0.3787344360351563,36.0,112.0,0.346875,63.03125,0.0,29.0,54.0,5.0,37.276954650878906,5.27001953125,4.871261596679688,19.90234375,12.9298095703125,7.226890563964844,0.4484100341796875,126.8125,6.004524230957031,186.52462768554688
4.4765625,0.3399999999999999,34.0,48.265625,0.286953125,12.3828125,2.203125,29.0,10.3984375,0.0,3.0,0.0,0.0,3.8125,6.5,0.0,0.0,8.0,1.0,0.0
30.4296875,0.4275,32.0,174.232421875,0.2416796875,88.162109375,13.8046875,29.0,79.4296875,1.0,9.625,1.75,1.125,10.814453125,13.375,3.0,0.25,22.625,7.75,84.875
45.625,0.3993670654296875,34.0,24.25,0.2987499999999999,107.96875,6.375,29.0,121.9296875,5.0,34.95098876953125,14.3125,15.21160888671875,0.625,2.686767578125,8.787109375,0.03131103515625,126.8125,13.96875,65.35882568359375
11.5,0.56,31.0,78.5,0.4525,62.0,8.5,31.0,55.75,2.0,36.0,3.5,1.5,8.25,0.0,12.0,0.0,35.0,6.5,215.5
36.490234375,0.30884765625,29.0,81.046875,0.25513671875,65.759765625,3.544921875,31.0,83.96484375,3.0,22.983642578125,14.3125,15.21160888671875,14.21484375,0.3984375,6.899169921875,0.015625,126.8125,13.96875,28.3544921875
10.0,0.34,31.0,76.0,0.59,26.0,0.0,27.0,24.0,0.0,7.0,2.0,1.0,0.0,2.0,7.0,0.0,35.0,1.0,72.0
20.5,0.490625,30.0,260.5390625,0.4468749999999999,37.5,3.40625,28.0,27.0,2.0,5.5,0.5,3.625,19.90234375,7.875,1.1875,1.125,12.5,1.8125,84.5625
35.322082817554474,0.44841796875,31.0,21.700621716678143,0.4565208749473095,92.80228950828314,10.139490619301796,32.0,104.27849129587412,3.0,41.5,6.7783203125,5.9130859375,6.994536310434341,0.3828125,13.3203125,0.0322265625,126.8125,11.5263671875,63.4638671875
11.75,0.56,33.0,4.5,0.3725,35.75,3.75,28.0,29.75,0.0,3.0,1.0,0.0,5.25,13.375,0.0,1.0,4.0,5.0,5.0
32.0,0.25,25.0,261.0,0.45,107.96875,13.8046875,30.0,63.0,0.0,7.0,14.3125,13.0,9.0,0.0,11.0,0.0,126.8125,13.96875,4.0
5.0,0.42625,24.0,189.0,0.605,25.5,4.5,27.0,24.5,2.0,18.75,6.875,2.0,1.0,4.375,10.125,0.0,38.5,5.5,290.829833984375
45.625,0.56,34.0,177.5,0.365,107.96875,13.8046875,27.0,121.9296875,0.0,22.0,6.0,2.0,2.25,3.0,7.0,1.0,28.0,4.0,243.0
28.0726318359375,0.28375,26.0,88.2149658203125,0.4835302734375,48.0067138671875,13.8046875,34.0,66.7310791015625,1.0,19.375,7.375,14.125,7.0528564453125,1.0,5.5,0.0,101.5,7.5,84.5
29.0,0.515,31.0,0.0,0.5,45.0,2.0,25.0,79.0,0.0,19.5,10.0,3.52099609375,0.0,2.0,6.37255859375,1.125,46.25,3.71875,72.0
35.78826904296875,0.42625,26.0,349.5,0.282928466796875,93.6022491455078,9.04145050048828,35.0,106.46492004394533,0.0,4.875,7.125,2.875,9.28631591796875,5.75,1.375,0.0,30.125,1.875,5.5
45.625,0.418223876953125,27.0,23.7872314453125,0.41785888671875,107.96875,10.4940185546875,30.0,121.9296875,3.0,15.94683837890625,1.9920654296875,4.78070068359375,0.7713623046875,9.98004150390625,3.41058349609375,0.1502685546875,44.72412109375,2.66375732421875,18.23345947265625
9.0,0.45453125,29.0,349.5,0.43,28.0,4.0,28.0,17.0,3.0,15.71875,4.40625,0.40625,11.0,1.625,3.984375,0.046875,28.5,1.03125,82.734375
11.46875,0.335,30.0,44.1990966796875,0.4578125,48.71875,2.0,29.0,35.0,1.0,0.5,6.5,15.21160888671875,10.062015533447266,2.0,13.3203125,0.5,15.5,4.5,67.0
2.5,0.32,26.0,132.5,0.5140359878540038,33.0,3.0,32.0,27.0,0.0,32.0,2.0,13.0,4.453125,13.375,7.0,0.0,117.0,13.96875,2.0
33.5,0.515,25.0,195.5,0.3425,76.75,3.9140625,27.0,91.5,2.0,21.75,14.25,11.0,5.5625,0.25,3.0,0.25,56.25,5.0,164.75
18.875,0.235,29.0,137.0,0.418046875,63.03125,2.5,26.0,67.875,1.0,7.75,4.25,5.25,1.75,6.25,2.5,1.125,42.25,11.125,247.125
45.625,0.4369094848632813,38.0,26.09765625,0.35125,67.75,3.0,31.0,117.5,5.0,21.04266357421875,1.67822265625,13.017364501953123,1.25,4.628326416015625,10.120330810546877,0.267364501953125,67.62411499023438,8.520294189453125,109.9786376953125
25.0,0.29,24.0,137.0,0.4,43.0,9.0,22.0,61.0,1.0,19.0,14.3125,3.0,6.0,9.0,3.0,1.125,126.0,9.0,26.0
45.625,0.3810107421875,36.0,48.385498046875,0.37672119140625,105.674560546875,12.506591796875,35.0,118.052001953125,5.0,10.04541015625,12.41552734375,8.7236328125,3.381103515625,2.99658203125,6.4677734375,0.1416015625,48.42236328125,6.763671875,125.97802734375
8.0,0.3225,31.0,349.5,0.36,33.0,2.0,24.0,27.0,1.0,10.0,2.5,6.75,10.0,10.0,3.25,1.0,37.75,5.5,229.75
1.5,0.36125,30.0,349.5,0.605,24.0,5.0,30.0,4.0,1.0,3.75,1.75,0.5,19.90234375,1.0,0.875,1.125,13.125,0.125,32.875
6.0,0.4,28.0,209.0,0.32,23.0,1.0,28.0,15.0,1.0,4.0,7.0,15.21160888671875,14.0,10.0,0.0,0.0,22.0,3.0,209.0
5.5,0.4053125,29.0,31.625,0.195,30.0,0.125,26.0,17.375,3.0,11.578125,1.15625,3.84375,14.25,3.34375,4.34375,1.015625,27.53125,6.78125,241.8125
9.0,0.18,33.0,349.5,0.25,37.6875,8.0,27.0,34.08984375,0.0,2.0,0.0,0.0,11.9453125,2.0,0.0,0.0,11.0,0.0,0.0
7.59375,0.425,29.0,0.0,0.429453125,50.0,5.3125,28.0,32.40625,2.0,20.0,8.5625,9.65625,0.0,4.8125,2.53125,0.0,61.21875,2.53125,174.59375
17.0,0.425,29.0,349.5,0.31,31.0,1.0,24.0,42.0,1.0,5.0,1.5,1.0,1.0,3.0,4.0,1.0,5.5,3.5,290.829833984375
18.0,0.37875,30.0,159.0,0.42,37.5,3.0,35.0,38.5,2.0,15.625,1.25,5.25,6.0,13.375,2.125,1.125,31.0,2.5,255.875
31.0,0.4725,32.0,32.5,0.43,66.0,13.8046875,31.0,78.0,2.0,31.9375,14.3125,3.0625,1.5,0.0625,13.3203125,0.0,119.25,13.96875,142.5625
10.8671875,0.44427734375,34.0,262.8203125,0.4681640625,48.39453125,9.375,34.0,30.76953125,5.0,14.25238037109375,7.86322021484375,2.33154296875,18.59375,1.2789306640625,5.36810302734375,0.3753662109375,31.65997314453125,3.35858154296875,226.335205078125
45.625,0.5282610750198364,35.0,0.0,0.4,107.96875,13.8046875,26.0,121.9296875,5.0,41.5,5.855043470859528,15.21160888671875,0.0,1.1559062600135803,13.3203125,0.0166032314300537,116.02621346712112,12.187887609004974,128.19629031419754
32.59291458129883,0.51,26.0,54.55792999267578,0.4338082504272461,68.55173110961914,5.660041809082031,34.0,75.67095565795898,0.0,41.5,3.0,0.0,1.0614776611328125,2.0,3.0,0.5,72.5,6.0,95.0
45.625,0.40625,26.0,77.0,0.325,86.75,13.8046875,28.0,113.0,1.0,35.125,6.625,0.625,2.5,2.25,9.5,0.875,126.8125,7.625,84.125
6.0,0.365,27.0,44.1990966796875,0.5,34.0,1.0,28.0,18.0,0.0,41.5,0.0,1.0,11.0,1.9375,1.5,0.0,122.65234375,2.20703125,86.0625
33.19140625,0.42,28.0,181.875,0.425,93.6022491455078,6.0,25.0,99.0,0.0,1.0,5.0,0.0,7.625,13.375,4.0,0.0,13.0,4.0,29.0
9.0,0.5137499999999999,27.0,251.0,0.605,35.0,8.5,30.0,18.0,2.0,9.0,5.75,3.5,19.90234375,4.75,6.0,1.125,17.5,1.875,290.829833984375
45.625,0.3199999999999999,29.0,328.125,0.3780859375,107.96875,2.69921875,30.0,121.9296875,0.0,29.5,14.3125,13.0,19.90234375,2.5,13.3203125,0.5,126.8125,13.96875,111.0
19.234375,0.4981249999999999,24.0,254.80078125,0.27375,52.5,0.5,26.0,52.8125,0.0,30.01688575744629,1.75,2.19140625,9.75,2.1503220796585083,8.0,1.0,56.375,2.8125,290.829833984375
10.9013671875,0.380703125,30.0,63.580078125,0.23076171875,35.994140625,5.765625,33.0,34.08984375,2.0,11.58984375,8.263671875,3.36328125,3.54296875,3.484375,3.359375,0.119140625,55.23828125,3.1875,140.84375
17.0,0.5425,25.0,0.0,0.31,67.0,0.0,23.0,71.0,2.0,19.125,6.25,13.875,0.0,0.0,11.375,0.5,37.25,8.25,175.75
4.0,0.56,28.0,349.5,0.605,23.0,8.0,29.0,10.0,0.0,10.0,2.0,3.0,4.0,1.0,0.0,1.125,7.0,1.0,99.0
45.625,0.495867919921875,36.0,11.0,0.56,107.96875,13.8046875,29.0,121.9296875,5.0,16.10595703125,7.0753173828125,1.43212890625,0.0,1.1629638671875,9.420166015625,0.0,84.2261962890625,9.4296875,2.2786865234375
19.0,0.4,32.0,26.09765625,0.3425,58.640625,2.0,32.0,82.125,2.0,41.5,1.5,13.0,2.375,6.75,5.25,0.75,91.5,6.25,117.5
18.0,0.375,21.0,265.125,0.42,32.3125,13.8046875,23.0,35.0,0.0,30.43701171875,10.25,4.099609375,11.0,0.5,2.8125,0.0,83.94677734375,6.5,241.8125
45.625,0.3978125,32.0,85.453125,0.3808984375,107.96875,8.884765625,33.0,121.9296875,3.0,27.3046875,9.515625,7.2890625,5.294921875,0.5,10.2890625,0.0703125,96.0390625,3.3671875,22.2109375
12.0,0.4694531249999999,28.0,109.0,0.2,23.0,4.0,29.0,23.0,0.0,23.75,7.0,2.19140625,5.0,2.0,7.0,0.0,58.89771270751953,6.609375,115.75
16.0,0.5225,34.0,285.0,0.43,64.75,2.25,28.0,79.4296875,3.0,30.875,6.9375,2.9375,5.5625,0.0,7.1875,0.0,75.1875,3.9375,98.9375
14.0,0.33,25.0,349.5,0.32,79.59375,3.8125,25.0,42.4140625,0.0,18.0,11.0,2.0,15.78125,13.375,10.0,0.0,109.0,11.0,99.0
19.515625,0.3607954406738281,36.0,79.3203125,0.44927734375,68.685546875,4.013671875,35.0,65.3125,5.0,9.158905029296877,7.12799072265625,1.272216796875,5.048828125,4.826164245605469,0.7181472778320312,0.19549560546875,31.5256576538086,1.886749267578125,82.85693359375
12.25,0.37306884765625,26.0,19.0,0.215,63.0,2.0,33.0,72.0,5.0,18.95654296875,12.72216796875,12.408203125,0.5,1.66796875,4.413818359375,0.4404296875,66.44384765625,7.1484375,290.829833984375
2.1875,0.50625,27.0,324.25,0.603125,15.125,5.875,34.0,13.0,2.0,22.65625,8.09375,4.6875,4.6875,0.71875,9.3125,0.1875,17.84375,8.46875,290.829833984375
11.46875,0.39,28.0,100.1630859375,0.515,26.0,4.171875,25.0,27.0,0.0,19.5,0.0,4.0,5.96875,0.0,10.0,0.0,86.41446161270142,2.3283767700195312,34.0
18.0,0.12203125,30.0,6.0,0.47,34.0,0.0,26.0,45.0,4.0,1.765625,0.09375,0.609375,2.0,1.1875,0.21875,0.25,2.40625,0.546875,55.515625
41.5234375,0.3799365234375,32.0,105.33203125,0.3152734375,60.21484375,3.51171875,35.0,68.796875,1.0,22.609375,0.0693359375,13.50390625,8.71875,13.375,8.234375,0.50390625,58.22119140625,6.9404296875,10.431640625
40.25,0.52,26.0,116.5,0.5225,69.75,7.25,31.0,91.5,0.0,41.5,1.0,0.0,6.0,0.0,4.0,1.0,126.8125,12.0,190.0
21.5,0.43671875,31.0,120.5,0.495,46.0,3.0,27.0,48.0,3.0,10.4921875,3.5078125,4.734375,4.5,9.21875,2.453125,0.0078125,27.5,2.34375,32.078125
21.125,0.3396310043334961,32.0,19.40625,0.4521874999999999,39.375,4.0,30.0,48.65625,2.0,13.624069213867188,14.3125,15.21160888671875,3.40625,10.60671329498291,7.846463203430176,0.0171833038330078,120.5771598815918,13.96875,1.5557136535644531
9.0,0.3817875671386719,37.0,349.5,0.18,25.0,1.0,31.0,24.0,5.0,24.435806274414062,1.04205322265625,2.718994140625,17.0,4.227828979492188,6.37255859375,0.5203704833984375,69.67506408691406,5.7566680908203125,120.34381103515624
24.75,0.425,30.0,155.0,0.3975,48.75,9.5,33.0,57.25,0.0,17.5,14.3125,1.0,1.25,0.5,9.0,0.0,91.0,13.96875,208.5
27.25,0.375,28.0,118.0,0.4325,101.375,1.5,28.0,88.75,1.0,9.375,4.15625,0.0,19.75,3.75,5.40625,0.0,34.15625,5.125,196.6875
2.0,0.56,27.0,0.0,0.0,2.0,0.0,24.0,4.0,0.0,36.0,0.0,15.21160888671875,1.0,2.0,10.125,1.0,53.5,4.390045166015625,290.829833984375
3.4521026611328125,0.5449999999999999,26.0,53.8671875,0.605,10.375,0.5,23.0,8.75,0.0,26.0,6.09375,15.21160888671875,8.5047607421875,1.203125,2.0,1.0,34.0,3.0,72.0
27.640625,0.56,37.0,82.828125,0.40234375,70.84375,4.171875,35.0,77.328125,3.0,23.75,4.125,2.125,2.78125,1.0,4.375,0.125,63.75,10.5,68.75
6.359375,0.3325,26.0,53.8671875,0.34125,26.2421875,0.421875,35.0,9.84375,0.0,17.25,1.0,3.25,15.4453125,6.25,1.75,0.75,52.5,6.5,43.25
2.0,0.22375,26.0,0.0,0.4,3.0,0.0,30.0,5.0,2.0,1.734375,2.03125,0.5625,0.0,9.53125,0.75,0.5,7.1953125,1.4765625,2.4375
