id,B_Height_cms,B_Weight_lbs,B_age,B_total_rounds_fought,R_Reach_cms,weight_class,B_longest_win_streak,R_age,R_Height_cms,R_Weight_lbs,R_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_avg_CTRL_time(seconds),B_avg_LEG_landed,B_current_win_streak,R_avg_DISTANCE_landed,B_Stance_Orthodox,R_avg_TD_pct,B_avg_SIG_STR_pct,R_avg_opp_BODY_att
0.0,160.02,115.0,30.0,6.0,165.1,1,1.0,23.0,165.1,115.0,24.0,440.0,143.0,5.5,1.0,22.0,True,0.33,0.53,10.0
1.0,167.64,125.0,30.0,6.0,167.64,3,1.0,27.0,167.64,135.0,207.5,156.0,140.0,8.5,0.0,14.5,True,0.375,0.565,7.5
2.0,180.34,185.0,45.0,39.0,187.96,7,4.0,38.0,182.88,185.0,6.599121094,104.0825195,5.978759766,1.427307129,2.0,6.930164337,True,6.48e-05,0.583355103,1.715791702
3.0,170.18,125.0,26.0,6.0,160.02,2,1.0,29.0,160.02,125.0,112.0,70.5,215.0,3.5,0.0,26.5,False,0.5,0.435,37.5
4.0,170.18,135.0,27.0,3.0,165.1,3,0.0,27.0,162.56,125.0,227.0,306.0,103.0,2.0,0.0,41.0,True,0.29,0.15,12.0
5.0,177.8,170.0,29.0,2.0,182.88,6,1.0,31.0,180.34,170.0,290.4296875,25.0,17.0,1.0,1.0,47.15625,False,0.29171875,0.4,13.46875
6.0,175.26,170.0,27.0,10.0,187.96,7,2.0,32.0,182.88,185.0,224.078125,345.3125,76.125,0.1875,1.0,4.0703125,True,0.18125,0.593125,2.3203125
7.0,180.34,170.0,30.0,9.0,182.88,6,2.0,22.0,177.8,170.0,252.5,128.0,145.25,3.75,0.0,6.75,True,0.4875,0.475,13.25
8.0,182.88,170.0,30.0,0.0,190.5,6,0.0,22.0,180.34,170.0,120.0,92.375,95.0,4.0,0.0,21.75,True,0.25,0.46,8.828125
9.0,175.26,155.0,23.0,9.0,182.88,4,4.0,25.0,170.18,145.0,82.5,30.125,181.875,6.25,4.0,10.5,False,0.25,0.44,1.5
10.0,180.34,155.0,27.0,3.0,180.34,5,0.0,31.0,180.34,155.0,2.0,372.0,76.0,1.0,0.0,6.0,True,0.0,0.45,11.0
11.0,172.72,145.0,26.0,9.0,185.42,5,1.0,28.0,180.34,155.0,114.5,121.0,344.25,8.25,1.0,27.5,True,0.0,0.4425,15.75
12.0,185.42,205.0,39.0,48.0,198.12,8,3.0,24.0,190.5,205.0,190.0,87.00462151,28.40359926,4.080101967,0.0,70.0,True,0.16,0.375108905,14.0
13.0,180.34,205.0,28.0,3.0,198.12,8,0.0,24.0,177.8,205.0,22.0,548.0,107.0,4.0,0.0,4.0,True,0.5,0.48,5.0
14.0,187.96,185.0,31.0,0.0,193.04,7,0.0,28.0,182.88,185.0,259.0,92.375,95.0,4.0,0.0,30.0,True,0.33,0.46,3.0
15.0,187.96,170.0,33.0,23.0,182.88,6,5.0,37.0,182.88,170.0,85.6730957,67.16796875,240.7304688,2.216796875,1.0,21.10302734,True,0.378798828,0.534746094,10.80712891
16.0,185.42,185.0,28.0,5.0,208.28,9,2.0,32.0,190.5,265.0,130.0,130.0,51.5,2.0,2.0,11.5,True,0.0,0.52,4.5
17.0,175.26,135.0,29.0,0.0,182.88,3,0.0,32.0,165.1,135.0,120.0,92.375,95.0,4.0,0.0,21.75,True,0.25,0.46,8.828125
18.0,160.02,115.0,30.0,3.0,152.4,1,1.0,25.0,154.94,115.0,38.0,336.0,261.0,8.0,1.0,89.0,True,1.0,0.67,24.0
19.0,187.96,185.0,26.0,3.0,182.88,7,1.0,30.0,182.88,185.0,316.0,3.0,479.0,6.0,1.0,13.0,True,0.33,0.42,2.0
20.0,185.42,185.0,31.0,24.0,190.5,8,2.0,33.0,185.42,205.0,138.375,133.53125,332.0976563,11.40625,2.0,31.125,True,0.3125,0.379609375,10.0
21.0,177.8,145.0,23.0,0.0,175.26,4,0.0,37.0,170.18,145.0,358.0,92.375,95.0,4.0,0.0,13.0,True,0.2525,0.46,5.0
22.0,187.96,185.0,29.0,40.0,198.12,7,4.0,34.0,185.42,185.0,95.00653076,41.06488037,207.9269714,7.06350708,2.0,30.11474609,True,0.137283325,0.576833801,8.9609375
23.0,182.88,185.0,35.0,35.0,187.96,7,4.0,27.0,185.42,185.0,183.2597656,42.45874023,131.3121338,1.921661377,4.0,19.2890625,True,0.041015625,0.543699799,6.130859375
24.0,180.34,155.0,29.0,6.0,177.8,4,1.0,31.0,177.8,145.0,364.5,93.75,85.25,0.5,0.0,7.0,False,0.83,0.5425,3.0
25.0,177.8,170.0,29.0,0.0,187.96,6,0.0,37.0,185.42,170.0,24.2265625,92.375,95.0,4.0,0.0,30.06640625,False,0.209960938,0.46,6.275390625
26.0,172.72,125.0,23.0,0.0,175.26,2,0.0,25.0,162.56,125.0,570.0,92.375,95.0,4.0,0.0,33.0,True,0.0,0.46,2.0
27.0,177.8,170.0,33.0,13.0,187.96,6,2.0,30.0,182.88,170.0,21.21875,86.359375,42.34375,3.296875,2.0,31.0390625,True,0.2734375,0.445625,33.1875
28.0,177.8,155.0,23.0,2.0,185.42,5,1.0,27.0,180.34,155.0,19.5,215.0,7.0,7.0,1.0,10.0,True,0.125,0.41,7.0
29.0,175.26,155.0,28.0,3.0,190.5,6,1.0,29.0,185.42,170.0,68.21875,116.0,556.0,3.0,1.0,8.265625,False,0.25,0.71,5.59375
30.0,187.96,250.0,31.0,3.0,198.12,9,0.0,33.0,190.5,260.0,7.4375,19.0,45.0,13.0,0.0,9.6875,True,0.0,0.46,0.625
31.0,175.26,155.0,30.0,10.0,182.88,5,2.0,24.0,170.18,155.0,239.0,51.5,168.5,9.125,0.0,46.5,True,0.165,0.39875,13.5
32.0,187.96,185.0,28.0,25.0,190.5,7,4.0,31.0,187.96,170.0,268.5697632,36.03857422,133.5720215,1.662597656,0.0,11.88842773,True,0.414624023,0.545795898,6.622009277
33.0,177.8,155.0,29.0,15.0,175.26,5,1.0,34.0,172.72,155.0,13.28480053,35.4375,23.9375,6.75,1.0,63.21137387,False,0.037189841,0.381875,18.84872031
34.0,170.18,135.0,25.0,0.0,175.26,3,0.0,26.0,170.18,135.0,107.03125,92.375,95.0,4.0,0.0,25.9375,False,0.2075,0.46,11.65625
35.0,177.8,265.0,39.0,10.0,195.58,9,4.0,29.0,193.04,238.0,40.77539063,87.4375,173.0,1.75,0.0,44.05664063,True,0.078125,0.536875,14.61328125
36.0,182.88,145.0,27.0,8.0,182.88,4,1.0,25.0,172.72,145.0,60.0,47.75,196.0,0.5,0.0,52.0,True,0.6,0.485,15.5
37.0,180.34,170.0,29.0,3.0,193.04,6,1.0,30.0,182.88,170.0,243.65625,98.0,504.0,8.0,1.0,26.59375,False,0.1971875,0.37,4.0625
38.0,177.8,135.0,28.0,0.0,160.02,3,0.0,27.0,160.02,125.0,120.0,92.375,95.0,4.0,0.0,21.75,True,0.25,0.46,8.828125
39.0,187.96,170.0,27.0,8.0,182.88,6,3.0,37.0,177.8,170.0,491.3202606,160.875,100.9375,0.125,3.0,6.968958221,False,0.38272746,0.24,2.811696574
40.0,172.72,135.0,29.0,2.0,177.8,3,1.0,24.0,170.18,145.0,1.25,0.0,17.0,1.5,0.0,43.0,True,0.0,0.425,5.25
41.0,180.34,205.0,31.0,7.0,190.5,8,2.0,31.0,185.42,205.0,155.75,93.75,36.25,3.75,2.0,2.0859375,True,0.5728125,0.2925,2.52734375
42.0,177.8,155.0,30.0,36.0,182.88,5,4.0,27.0,175.26,155.0,155.0736694,8.269897461,23.78723145,18.77685547,0.0,24.32574463,False,0.206954956,0.326987305,4.504760742
43.0,165.1,125.0,23.0,6.0,160.02,1,1.0,31.0,162.56,115.0,86.40625,87.5,107.5,19.5,1.0,25.96875,True,0.308125,0.43,5.9375
44.0,182.88,170.0,30.0,38.0,203.2,6,4.0,32.0,190.5,170.0,188.5194769,190.9298096,55.61914063,12.84350586,0.0,37.06735229,True,0.345358696,0.287484131,5.699589729
45.0,187.96,205.0,24.0,4.0,187.96,6,1.0,28.0,177.8,170.0,54.0,40.5,36.5,1.0,1.0,4.0,True,0.0,0.515,1.0
46.0,180.34,155.0,27.0,0.0,175.26,5,0.0,24.0,172.72,155.0,120.0,92.375,95.0,4.0,0.0,21.75,True,0.25,0.46,8.828125
47.0,177.8,185.0,27.0,1.0,193.04,7,0.0,31.0,182.88,185.0,205.5,3.0,0.0,0.0,0.0,4.0,True,0.5,0.2,3.0
48.0,175.26,155.0,30.0,15.0,180.34,5,2.0,30.0,180.34,155.0,235.5,252.59375,188.96875,4.78125,0.0,4.25,True,0.2575,0.474375,2.75
49.0,175.26,170.0,29.0,14.0,190.5,6,2.0,33.0,187.96,170.0,82.17651367,58.59375,173.78125,0.09375,2.0,11.76159668,True,0.268798828,0.3940625,2.973022461
50.0,175.26,155.0,29.0,6.0,180.34,5,1.0,32.0,175.26,155.0,249.5,6.0,286.5,7.0,1.0,17.5,False,0.35,0.315,3.5
51.0,177.8,170.0,25.0,0.0,185.42,6,0.0,32.0,177.8,170.0,120.5,92.375,95.0,4.0,0.0,53.0,True,0.0,0.46,13.0
52.0,172.72,135.0,28.0,13.0,175.26,3,4.0,25.0,167.64,140.0,278.0,20.125,200.3125,17.3125,0.0,30.5,False,0.33,0.495,11.5
53.0,180.34,170.0,30.0,5.0,187.96,6,2.0,30.0,177.8,170.0,114.5,72.5,512.5,2.0,2.0,2.375,True,0.7075,0.645,1.875
54.0,180.34,155.0,27.0,0.0,187.96,5,0.0,33.0,175.26,155.0,81.03125,92.375,95.0,4.0,0.0,23.6875,False,0.03125,0.46,4.28125
55.0,187.96,205.0,30.0,10.0,195.58,8,3.0,29.0,187.96,185.0,37.0,106.75,14.125,3.875,3.0,14.8125,True,0.03125,0.25375,4.15625
56.0,190.5,155.0,30.0,6.0,177.8,5,0.0,35.0,175.26,155.0,59.83563232,447.5,47.0,11.0,0.0,12.42657471,False,0.392624512,0.46,7.775024414
57.0,187.96,170.0,29.0,28.0,180.34,7,4.0,32.0,182.88,185.0,162.875,94.88867188,174.2324219,0.814453125,4.0,5.125,False,0.33,0.50203125,3.5
58.0,170.18,125.0,37.0,9.0,177.8,2,2.0,31.0,172.72,125.0,4.09375,2.375,24.375,2.25,0.0,17.03125,True,0.140625,0.48375,1.0
59.0,170.18,145.0,25.0,6.0,177.8,4,1.0,25.0,177.8,145.0,163.0,115.0,117.0,15.0,0.0,14.5,True,0.15,0.415,8.0
60.0,190.5,235.0,38.0,17.0,203.2,9,3.0,28.0,193.04,265.0,458.5117188,12.90625,81.796875,3.109375,0.0,6.80078125,True,0.52640625,0.44359375,1.296875
61.0,162.56,125.0,28.0,6.0,170.18,2,2.0,23.0,160.02,135.0,30.625,113.5,140.0,3.0,2.0,27.625,True,0.25,0.415,5.9375
62.0,177.8,170.0,26.0,10.0,185.42,6,2.0,31.0,182.88,170.0,33.109375,24.25,15.125,5.625,2.0,25.19140625,True,0.002578125,0.53875,8.4375
63.0,185.42,253.0,33.0,11.0,213.36,9,2.0,31.0,210.82,265.0,33.1687603,100.40625,260.5390625,6.9453125,2.0,28.28251362,True,0.047124863,0.449921875,17.5427084
64.0,198.12,205.0,26.0,0.0,193.04,8,0.0,28.0,185.42,205.0,3.0625,92.375,95.0,4.0,0.0,14.375,True,0.0,0.46,9.5
65.0,165.1,125.0,25.0,2.0,175.26,2,0.0,21.0,167.64,125.0,65.5,251.0,141.0,2.0,0.0,55.625,True,0.125,0.28,18.625
66.0,177.8,170.0,27.0,2.0,177.8,6,2.0,25.0,177.8,155.0,85.5,0.0,139.5,0.5,2.0,0.5,True,0.33,0.41,1.5
67.0,172.72,135.0,32.0,9.0,172.72,3,0.0,27.0,167.64,135.0,314.0,111.75,65.25,9.75,0.0,40.0,True,0.37,0.3275,23.0
68.0,187.96,185.0,41.0,49.0,182.88,8,16.0,37.0,180.34,235.0,309.25,76.79661179,4.434995651,16.63492775,16.0,50.078125,False,0.279375,0.53961832,25.421875
69.0,170.18,135.0,31.0,32.0,175.26,3,4.0,38.0,172.72,135.0,204.1074219,84.70996094,309.8398438,7.950195313,1.0,20.49609375,True,0.130859375,0.357978516,15.33984375
70.0,167.64,145.0,35.0,9.0,180.34,4,0.0,27.0,177.8,145.0,18.5,459.25,101.25,2.0,0.0,0.0,True,0.75,0.3075,0.0
71.0,175.26,135.0,28.0,2.0,162.56,3,1.0,24.0,162.56,125.0,56.0,155.0,69.0,2.0,1.0,6.375,True,0.375,0.26,8.75
72.0,172.72,135.0,34.0,6.0,170.18,3,1.0,31.0,165.1,135.0,2.0,156.25,79.75,5.875,0.0,10.0,True,0.0,0.35875,15.0
73.0,185.42,155.0,32.0,0.0,180.34,5,0.0,26.0,175.26,155.0,36.78125,92.375,95.0,4.0,0.0,56.9375,False,0.325,0.46,21.1875
74.0,172.72,155.0,33.0,11.0,180.34,5,1.0,30.0,180.34,155.0,330.0,13.875,40.4375,7.125,1.0,7.5,False,0.515,0.4759375,4.5
75.0,182.88,205.0,30.0,24.0,193.04,8,2.0,32.0,193.04,205.0,33.37634277,293.7578125,261.1464844,2.921875,0.0,33.71276855,True,0.094150391,0.616152344,15.88183594
76.0,162.56,115.0,30.0,0.0,167.64,3,0.0,34.0,175.26,135.0,12.78125,92.375,95.0,4.0,0.0,86.71875,False,0.0,0.46,10.28125
77.0,177.8,170.0,37.0,0.0,187.96,6,0.0,28.0,185.42,170.0,120.0,92.375,95.0,4.0,0.0,21.75,False,0.25,0.46,8.828125
78.0,172.72,145.0,24.0,3.0,175.26,4,1.0,31.0,175.26,145.0,176.75,193.0,407.0,3.0,1.0,16.75,True,0.2225,0.37,7.0
79.0,172.72,145.0,26.0,1.0,175.26,4,0.0,31.0,165.1,145.0,121.0,5.0,34.0,5.0,0.0,40.5,True,0.0,0.26,30.0
80.0,190.5,185.0,29.0,1.0,190.5,8,1.0,27.0,185.42,185.0,329.0,0.0,89.0,4.0,1.0,9.0,True,0.8,0.7,3.0
81.0,172.72,155.0,29.0,11.0,185.42,5,1.0,35.0,175.26,155.0,136.869873,108.5,158.875,6.375,0.0,17.9543457,True,0.390869141,0.3025,5.748046875
82.0,193.04,185.0,26.0,3.0,190.5,7,1.0,30.0,187.96,205.0,32.640625,146.5,0.5,6.0,0.0,18.2890625,True,0.0,0.445,13.6953125
83.0,177.8,135.0,28.0,9.0,185.42,4,1.0,27.0,185.42,145.0,323.0,301.0,38.25,12.25,0.0,54.25,True,0.49,0.3475,12.25
84.0,167.64,135.0,29.0,3.0,175.26,3,0.0,36.0,170.18,135.0,5.349975586,49.0,11.0,14.0,0.0,28.01269531,False,0.000284424,0.42,16.01757813
85.0,170.18,145.0,26.0,0.0,182.88,5,0.0,25.0,177.8,145.0,120.0,92.375,95.0,4.0,0.0,21.75,True,0.25,0.46,8.828125
86.0,175.26,135.0,33.0,3.0,172.72,3,0.0,30.0,167.64,135.0,115.0,309.0,0.0,16.0,0.0,36.0,False,0.22,0.5,10.0
87.0,180.34,205.0,30.0,1.0,187.96,8,1.0,29.0,187.96,205.0,199.9414063,0.0,6.0,0.0,1.0,22.53125,True,0.259765625,0.56,9.9609375
88.0,185.42,185.0,33.0,7.0,190.5,7,1.0,25.0,180.34,170.0,324.0,48.34375,37.0,1.03125,0.0,9.0,True,0.71,0.514375,11.0
89.0,185.42,155.0,22.0,0.0,182.88,5,0.0,28.0,182.88,155.0,32.0,92.375,95.0,4.0,0.0,12.0,True,0.0,0.46,1.0
90.0,185.42,205.0,26.0,4.0,190.5,8,0.0,32.0,185.42,205.0,29.0,455.5,0.0,0.0,0.0,5.0,False,0.0,0.465,4.0
91.0,177.8,155.0,27.0,19.0,185.42,5,4.0,26.0,185.42,145.0,33.0703125,117.484375,144.34375,4.9921875,0.0,14.4296875,True,0.14453125,0.382148438,2.015625
92.0,175.26,185.0,40.0,26.0,198.12,7,2.0,37.0,185.42,185.0,321.8127041,5.735351563,62.22265625,13.65625,0.0,20.31608582,False,0.208352604,0.520908203,6.186279297
93.0,160.02,125.0,29.0,6.0,172.72,2,1.0,32.0,167.64,125.0,53.375,205.0,35.0,1.5,1.0,7.5625,True,0.169375,0.515,7.75
94.0,175.26,155.0,29.0,10.0,172.72,5,4.0,33.0,172.72,145.0,115.4491615,15.0,40.875,20.625,4.0,19.66828918,False,0.148132858,0.42875,4.23141098
95.0,180.34,155.0,28.0,8.0,175.26,4,3.0,26.0,172.72,145.0,43.375,28.5,77.0,21.25,3.0,40.0,True,0.04125,0.4925,13.75
96.0,175.26,170.0,21.0,3.0,177.8,5,0.0,28.0,177.8,170.0,41.0,108.0,250.0,1.0,0.0,36.5,True,0.5,0.27,10.5
97.0,162.56,125.0,33.0,6.0,167.64,2,2.0,33.0,167.64,125.0,48.58007813,119.0,68.5,10.5,2.0,29.09277344,True,0.1171875,0.49,10.21484375
98.0,190.5,185.0,26.0,2.0,193.04,7,1.0,31.0,182.88,185.0,18.0,193.0,137.0,2.0,1.0,6.0,True,0.0,0.58,0.0
99.0,198.12,205.0,27.0,3.0,200.66,8,3.0,30.0,190.5,205.0,221.9030762,1.25,4.0,0.75,3.0,33.23803711,True,0.25263916,0.6925,6.240234375
100.0,177.8,155.0,31.0,0.0,187.96,5,0.0,32.0,180.34,155.0,49.75,92.375,95.0,4.0,0.0,17.5,True,0.17,0.46,14.5
101.0,190.5,205.0,28.0,6.0,200.66,8,1.0,28.0,187.96,205.0,242.328125,93.5,66.0,1.75,0.0,8.78125,True,0.515390625,0.495,2.6875
102.0,185.42,185.0,27.0,1.0,198.12,7,1.0,33.0,185.42,185.0,226.9384766,34.0,74.0,0.0,1.0,23.48339844,False,0.589091797,0.73,10.67382813
103.0,187.96,185.0,22.0,6.0,195.58,7,4.0,36.0,185.42,185.0,129.6242371,5.5,85.125,0.75,4.0,47.02355957,True,0.21164856,0.465,21.4130249
104.0,185.42,155.0,27.0,3.0,182.88,5,0.0,27.0,182.88,145.0,0.0,551.0,101.0,9.0,0.0,11.0,True,0.0,0.42,6.0
105.0,180.34,170.0,29.0,19.0,193.04,6,2.0,33.0,180.34,170.0,239.0625,75.0390625,41.375,3.3828125,2.0,46.109375,True,0.4575,0.420703125,20.25
106.0,175.26,155.0,28.0,8.0,177.8,5,2.0,24.0,172.72,155.0,157.0,88.625,32.0,7.0,0.0,15.5,True,0.33,0.46625,14.0
107.0,190.5,265.0,30.0,0.0,193.04,9,0.0,33.0,190.5,235.0,120.0,92.375,95.0,4.0,0.0,21.75,False,0.25,0.46,8.828125
108.0,172.72,135.0,25.0,23.0,172.72,3,3.0,38.0,167.64,135.0,239.5,133.9414063,36.4375,15.04296875,0.0,11.75,False,0.42375,0.45296875,11.875
109.0,193.04,205.0,23.0,13.0,193.04,8,3.0,29.0,185.42,205.0,92.0,3.8125,179.078125,3.96875,3.0,20.4375,True,0.056875,0.60515625,10.75
110.0,154.94,115.0,26.0,9.0,165.1,1,3.0,23.0,165.1,115.0,524.25,77.75,313.0,6.0,3.0,21.75,True,0.7325,0.505,10.5
111.0,165.1,115.0,33.0,15.0,160.02,1,3.0,30.0,162.56,115.0,210.6015625,186.6875,101.125,23.5,0.0,24.234375,True,0.55984375,0.441875,18.375
112.0,172.72,145.0,31.0,0.0,175.26,4,0.0,26.0,165.1,135.0,120.0,92.375,95.0,4.0,0.0,21.75,True,0.25,0.46,8.828125
113.0,182.88,170.0,30.0,1.0,180.34,6,0.0,30.0,177.8,170.0,103.0625,119.0,0.0,0.0,0.0,27.125,True,0.5625,0.18,31.30078125
114.0,185.42,185.0,37.0,8.0,190.5,7,3.0,29.0,187.96,185.0,78.85394287,250.375,67.375,4.125,0.0,25.93243408,True,0.1875,0.6475,11.95318604
115.0,187.96,240.0,40.0,6.0,200.66,9,2.0,34.0,198.12,255.0,17.85314941,122.0,163.5,1.875,2.0,22.29473877,True,0.057200317,0.4325,10.52966309
116.0,177.8,185.0,29.0,3.0,185.42,7,0.0,36.0,177.8,185.0,85.0,505.0,94.0,2.0,0.0,6.75,True,0.25,0.38,1.5
117.0,177.8,145.0,23.0,1.0,180.34,4,0.0,24.0,175.26,145.0,120.0,172.0,0.0,0.0,0.0,21.75,False,0.25,0.28,8.828125
118.0,182.88,185.0,23.0,4.0,195.58,7,1.0,38.0,185.42,185.0,40.6875,273.0,102.5,2.0,1.0,18.8125,False,0.375,0.56,4.4375
119.0,182.88,185.0,26.0,5.0,182.88,7,0.0,27.0,187.96,185.0,120.0,76.75,95.25,4.25,0.0,21.75,True,0.25,0.43,8.828125
120.0,182.88,185.0,32.0,13.0,190.5,6,1.0,35.0,180.34,170.0,193.283783,16.46875,22.83203125,0.078125,1.0,30.96548462,False,0.090423584,0.527265625,17.74841309
121.0,180.34,170.0,29.0,3.0,182.88,6,1.0,34.0,182.88,170.0,178.15625,76.0,9.0,20.0,1.0,22.1875,True,0.15625,0.43,15.3125
122.0,190.5,185.0,33.0,12.0,182.88,7,2.0,30.0,185.42,170.0,165.0,276.75,144.1875,8.1875,2.0,2.0,True,0.56,0.653125,1.5
123.0,185.42,170.0,27.0,4.0,187.96,6,0.0,24.0,187.96,170.0,138.125,241.5,189.0,0.0,0.0,17.125,True,0.0,0.12,13.5
124.0,182.88,185.0,39.0,19.0,198.12,7,7.0,32.0,187.96,185.0,213.8242188,87.125,103.78125,8.484375,7.0,27.9296875,False,0.523164063,0.5428125,15.81640625
125.0,165.1,135.0,27.0,0.0,172.72,3,0.0,27.0,172.72,135.0,185.0,92.375,95.0,4.0,0.0,22.0,False,1.0,0.46,4.0
126.0,177.8,170.0,25.0,1.0,190.5,6,1.0,27.0,182.88,170.0,120.0,202.0,60.0,0.0,1.0,21.75,True,0.25,0.5,8.828125
127.0,170.18,135.0,28.0,18.0,167.64,3,3.0,30.0,167.64,135.0,158.3515625,270.359375,200.4375,5.203125,1.0,14.6796875,True,0.102109375,0.59765625,9.6328125
128.0,172.72,155.0,27.0,10.0,177.8,5,2.0,28.0,175.26,155.0,128.5957031,44.125,2.5,9.625,2.0,53.59472656,True,0.28515625,0.30125,17.97363281
129.0,187.96,185.0,31.0,25.0,198.12,7,4.0,32.0,187.96,185.0,119.4121094,8.833007813,94.48046875,6.935546875,1.0,19.96484375,True,0.321582031,0.517910156,9.408203125
